grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.5 CW AD,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.5 CW AD,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.5 CW AD,Thunder Bay,0.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.5 CW AD,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,No.5 CW AD,St. Lawrence,0.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,OTHER,Vancouver,0.6
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,OTHER,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,OTHER,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,OTHER,Thunder Bay,1.5
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,OTHER,Bay & Lakes,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Amber Durum,OTHER,St. Lawrence,1.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.1 CW,Vancouver,43.0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.1 CW,Prince Rupert,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.1 CW,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.1 CW,Thunder Bay,1.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.1 CW,Bay & Lakes,1.1
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.1 CW,St. Lawrence,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.2 CW,Vancouver,6.3
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.2 CW,Prince Rupert,0.2
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.2 CW,Churchill,0
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.2 CW,Thunder Bay,29.4
47,2022-2023,25/06/2023,Terminal Stocks,Stocks,Current Week,Oats,No.2 CW,Bay & Lakes,0.5
