grain_week,crop_year,week_ending_date,worksheet,metric,period,grain,grade,region,Ktonnes
1,2023-2024,06/08/2023,Imported Grains,Receipts,Current Week,U.S. Canola,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Receipts,Current Week,U.S. Canola,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Receipts,Current Week,U.S. Canola,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Receipts,Current Week,U.S. Canola,,Bay & Lakes,0.289
1,2023-2024,06/08/2023,Imported Grains,Receipts,Current Week,U.S. Canola,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,U.S. Corn,,Primary Elevators,18.55
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,U.S. Corn,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,U.S. Corn,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,U.S. Corn,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,U.S. Corn,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,U.S. Corn,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,U.S. Corn,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,U.S. Corn,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,Canadian and Imported Origin Corn,,Primary Elevators,0.084
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,Canadian and Imported Origin Corn,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,Canadian and Imported Origin Corn,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,Canadian and Imported Origin Corn,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,Canadian and Imported Origin Corn,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,Canadian and Imported Origin Corn,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,Canadian and Imported Origin Corn,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Shipments,Current Week,Canadian and Imported Origin Corn,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Wheat,,Primary Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Wheat,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Wheat,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Wheat,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Wheat,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Wheat,,Thunder Bay,6.698
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Wheat,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Wheat,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Flax,,Primary Elevators,0.150
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Flax,,Process Elevators,1.147
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Flax,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Flax,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Flax,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Flax,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Flax,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Flax,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Corn,,Primary Elevators,39.65
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Corn,,Process Elevators,1.866
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Corn,,Vancouver,0.004
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Corn,,Prince Rupert,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Corn,,Churchill,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Corn,,Thunder Bay,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Corn,,Bay & Lakes,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Corn,,St. Lawrence,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Canola,,Primary Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Canola,,Process Elevators,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Canola,,Vancouver,0
1,2023-2024,06/08/2023,Imported Grains,Stocks,Current Week,U.S. Canola,,Prince Rupert,0
